SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.13.22.183, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.13.55.252, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.13.66.60, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.13.68.159, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.34.73.232, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.36.129.143.99.140, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.36.215.76.60.240, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.38.85.22.120.67, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.38.85.89.19.96, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.48.72.155.35.94, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.202.174.193, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.238.144.97, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.238.145.126, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.238.145.152, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.238.145.164, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.238.145.166, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.238.145.176, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.238.146.188, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.238.146.195, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.64.140.253.244.74, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.74.188.31, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.216, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.230, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.233, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.236, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.239, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.242, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.245, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.248, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.251, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.18.254, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.155, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.158, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.161, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.164, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.167, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.170, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.173, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.176, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.179, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.182, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.185, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.188, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.191, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.194, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.197, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.200, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.203, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.206, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.209, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.212, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.215, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.218, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.221, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.224, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.227, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.21.230, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.36, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.39, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.42, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.45, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.48, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.51, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.54, Type=Integer, Value=6
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.57, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.80.86.130.27.60, Type=Integer, Value=18
